fecha;sistema;dmin_mw;dmax_mw,,
01/01/2006;SIC;2644,20;4221,86
01/01/2006;SING;1379,91;1547,89
02/01/2006;SIC;3078,20;5233,15
02/01/2006;SING;1416,14;1552,15
03/01/2006;SIC;3639,14;5315,77
03/01/2006;SING;1417,51;1550,83
04/01/2006;SIC;3743,20;5252,27
04/01/2006;SING;1416,68;1524,19
05/01/2006;SIC;3719,60;5344,7
05/01/2006;SING;1444,52;1558,66
06/01/2006;SIC;3750,48;5203,49
06/01/2006;SING;1382,00;1560,53
07/01/2006;SIC;3648,28;4928,32
07/01/2006;SING;1452,93;1543,24
08/01/2006;SIC;3163,30;4838,17
08/01/2006;SING;1420,92;1571,70
09/01/2006;SIC;3553,70;5342,96
09/01/2006;SING;1441,91;1549,75
10/01/2006;SIC;3788,92;5376,92
10/01/2006;SING;1451,04;1537,33
11/01/2006;SIC;3817,69;5313,56
11/01/2006;SING;1317,90;1522,89
12/01/2006;SIC;3779,85;5377,74
12/01/2006;SING;1400,21;1505,29
13/01/2006;SIC;3830,65;5345,88
13/01/2006;SING;1396,55;1509,96
14/01/2006;SIC;3686,90;4989,13
14/01/2006;SING;1415,73;1518,12
15/01/2006;SIC;3195,70;4753,8
15/01/2006;SING;1378,49;1513,20
16/01/2006;SIC;3510,84;5445,89
16/01/2006;SING;1330,89;1497,28
17/01/2006;SIC;3882,20;5459,52
17/01/2006;SING;1331,34;1496,78
18/01/2006;SIC;3894,44;5342,97
18/01/2006;SING;1420,26;1527,31
19/01/2006;SIC;3827,60;5361,30
19/01/2006;SING;1418,27;1558,95
20/01/2006;SIC;3873,92;5393,62
20/01/2006;SING;1405,81;1569,86
21/01/2006;SIC;3773,00;4966,5
21/01/2006;SING;1464,51;1574,8
22/01/2006;SIC;3292,60;4838,53
22/01/2006;SING;1426,62;1555,47
23/01/2006;SIC;3565,81;5386,43
23/01/2006;SING;1438,14;1542,43
24/01/2006;SIC;3878,00;5478,37
24/01/2006;SING;1398,42;1533,19
25/01/2006;SIC;3900,40;5504,34
25/01/2006;SING;1418,45;1508,51
26/01/2006;SIC;3923,90;5481,42
26/01/2006;SING;1398,51;1551,95
27/01/2006;SIC;3945,43;5443,76
27/01/2006;SING;1428,44;1526,29
28/01/2006;SIC;3822,20;5066,5
28/01/2006;SING;1411,78;1522,7
29/01/2006;SIC;3285,10;4800,51
29/01/2006;SING;1386,43;1556,92
30/01/2006;SIC;3526,50;5537,37
30/01/2006;SING;1417,82;1509,90
31/01/2006;SIC;3878,31;5463,7
31/01/2006;SING;1288,80;1488,90
01/02/2006;SIC;3866,00;5351,18
01/02/2006;SING;1374,33;1498,20
02/02/2006;SIC;3827,76;5347,19
02/02/2006;SING;1365,62;1512,69
03/02/2006;SIC;3825,99;5321,47
03/02/2006;SING;1302,43;1491,76
04/02/2006;SIC;3664,30;4946,90
04/02/2006;SING;1363,80;1466,31
05/02/2006;SIC;3162,20;4707,82
05/02/2006;SING;1440,40;1574,94
06/02/2006;SIC;3357,96;5324,29
06/02/2006;SING;1441,69;1521,88
07/02/2006;SIC;3730,63;5401,64
07/02/2006;SING;1419,32;1547,38
08/02/2006;SIC;3836,89;5345,22
08/02/2006;SING;1361,04;1542,11
09/02/2006;SIC;3830,00;5422,36
09/02/2006;SING;1395,46;1556,86
10/02/2006;SIC;3813,20;5416,97
10/02/2006;SING;1389,32;1559,42
11/02/2006;SIC;3764,90;5127,51
11/02/2006;SING;1463,65;1562,18
12/02/2006;SIC;3338,20;4779,80
12/02/2006;SING;1406,58;1558,74
13/02/2006;SIC;3508,79;5516,34
13/02/2006;SING;985,98;1468,32
14/02/2006;SIC;3854,79;5480,69
14/02/2006;SING;1126,56;1346,16
15/02/2006;SIC;3923,20;5455,16
15/02/2006;SING;1199,99;1324,34
16/02/2006;SIC;3847,70;5531,49
16/02/2006;SING;1296,62;1386,37
17/02/2006;SIC;3928,12;5547,1
17/02/2006;SING;1349,13;1478,3
18/02/2006;SIC;3941,50;5190,46
18/02/2006;SING;1396,36;1519,77
19/02/2006;SIC;3396,40;4907,25
19/02/2006;SING;1404,38;1567,49
20/02/2006;SIC;3607,70;5630,68
20/02/2006;SING;1487,84;1572,54
21/02/2006;SIC;4000,50;5679,54
21/02/2006;SING;1457,53;1555,6
22/02/2006;SIC;3939,50;5606,79
22/02/2006;SING;1446,23;1566,15
23/02/2006;SIC;3888,50;5666,73
23/02/2006;SING;1478,57;1579,86
24/02/2006;SIC;3936,60;5620,51
24/02/2006;SING;1461,40;1578,61
25/02/2006;SIC;3902,90;5238,4
25/02/2006;SING;1493,41;1600,75
26/02/2006;SIC;3395,90;4847,46
26/02/2006;SING;1467,58;1633,72
27/02/2006;SIC;3572,90;5569,30
27/02/2006;SING;1475,15;1598,71
