fecha;valor,
12/01/2016;7354,
13/01/2016;7354,
14/01/2016;7354,
15/01/2016;7551,
16/01/2016;0,
17/01/2016;0,
18/01/2016;7307,
19/01/2016;7491,
20/01/2016;7756,
21/01/2016;7833,
22/01/2016;7711,
23/01/2016;6805,
24/01/2016;6513,
25/01/2016;7524,
26/01/2016;7597,
27/01/2016;7360,
28/01/2016;7180,
29/01/2016;7212,
30/01/2016;6704,
31/01/2016;6338,
01/02/2016;7368,
02/02/2016;7133,
03/02/2016;7472,
04/02/2016;7472,
05/02/2016;7454,
06/02/2016;6705,
07/02/2016;6424,
08/02/2016;7410,
09/02/2016;7305,
10/02/2016;7308,
11/02/2016;7415,
12/02/2016;7379,
13/02/2016;6547,
14/02/2016;6317,
15/02/2016;7273,
16/02/2016;7432,
17/02/2016;7514,
18/02/2016;7466,
19/02/2016;7332,
20/02/2016;6642,
21/02/2016;6350,
22/02/2016;7512,
23/02/2016;7528,
24/02/2016;7620,
25/02/2016;7606,
26/02/2016;7411,
27/02/2016;6778,
28/02/2016;6581,
29/02/2016;7731,
01/03/2016;0,
02/03/2016;7605,
03/03/2016;7491,
04/03/2016;7657,
05/03/2016;6625,
06/03/2016;6647,
07/03/2016;7643,
08/03/2016;7691,
09/03/2016;7614,
10/03/2016;7574,
11/03/2016;7598,
12/03/2016;6823,
13/03/2016;6652,
14/03/2016;7706,
15/03/2016;7680,
16/03/2016;7689,
17/03/2016;7598,
18/03/2016;7694,
19/03/2016;6931,
20/03/2016;6818,
21/03/2016;7605,
22/03/2016;7694,
23/03/2016;7516,
24/03/2016;7479,
25/03/2016;6270,
26/03/2016;6453,
27/03/2016;6767,
28/03/2016;7557,
29/03/2016;7441,
30/03/2016;7384,
31/03/2016;7325,
01/04/2016;7185,
02/04/2016;5866,
03/04/2016;5422,
04/04/2016;7049,
05/04/2016;6922,
06/04/2016;6957,
07/04/2016;6957,
08/04/2016;7034,
09/04/2016;6479,
10/04/2016;6658,
11/04/2016;7003,
12/04/2016;7119,
13/04/2016;7119,
14/04/2016;7124,
15/04/2016;7196,
16/04/2016;6316,
17/04/2016;6640,
18/04/2016;7159,
19/04/2016;7209,
20/04/2016;7068,
21/04/2016;6887,
22/04/2016;6856,
23/04/2016;6402,
24/04/2016;6311,
25/04/2016;6961,
26/04/2016;6876,
27/04/2016;6814,
28/04/2016;7135,
29/04/2016;7036,
30/04/2016;6496,
01/05/2016;6534,
02/05/2016;6995,
03/05/2016;7071,
04/05/2016;7052,
05/05/2016;7191,
06/05/2016;6876,
07/05/2016;6504,
08/05/2016;6444,
09/05/2016;7007,
10/05/2016;7068,
11/05/2016;7227,
12/05/2016;7111,
13/05/2016;7148,
14/05/2016;6590,
15/05/2016;6391,
16/05/2016;7008,
17/05/2016;7114,
18/05/2016;6962,
19/05/2016;7160,
20/05/2016;7161,
21/05/2016;6336,
22/05/2016;6530,
23/05/2016;7008,
24/05/2016;6958,
25/05/2016;7078,
26/05/2016;7232,
27/05/2016;7108,
28/05/2016;6436,
29/05/2016;6583,
30/05/2016;6997,
31/05/2016;6967,
01/06/2016;7171,
02/06/2016;7262,
03/06/2016;7182,
04/06/2016;6568,
05/06/2016;6894,
06/06/2016;7326,
07/06/2016;7234,
08/06/2016;7201,
09/06/2016;7350,
10/06/2016;7236,
11/06/2016;6471,
12/06/2016;6627,
13/06/2016;7108,
14/06/2016;7132,
15/06/2016;7235,
16/06/2016;7388,
17/06/2016;7243,
18/06/2016;6548,
19/06/2016;6944,
20/06/2016;7211,
21/06/2016;7347,
22/06/2016;7368,
23/06/2016;7326,
24/06/2016;7388,
25/06/2016;6543,
26/06/2016;6546,
27/06/2016;6796,
28/06/2016;7457,
29/06/2016;7485,
30/06/2016;7485,
01/07/2016;7595,
02/07/2016;6766,
03/07/2016;7014,
04/07/2016;7393,
05/07/2016;7396,
06/07/2016;7367,
07/07/2016;7366,
08/07/2016;7319,
09/07/2016;6868,
10/07/2016;6921,
11/07/2016;7504,
12/07/2016;7584,
13/07/2016;7597,
14/07/2016;7584,
15/07/2016;7367,
16/07/2016;6894,
17/07/2016;6918,
18/07/2016;7480,
19/07/2016;7574,
20/07/2016;7335,
21/07/2016;7278,
22/07/2016;7245,
23/07/2016;6845,
24/07/2016;6818,
25/07/2016;7513,
26/07/2016;7295,
27/07/2016;7310,
28/07/2016;7366,
29/07/2016;7366,
30/07/2016;6578,
31/07/2016;6781,
01/08/2016;7356,
02/08/2016;7083,
03/08/2016;7129,
04/08/2016;6988,
05/08/2016;7094,
06/08/2016;6540,
07/08/2016;6608,
08/08/2016;6988,
09/08/2016;6877,
10/08/2016;7020,
11/08/2016;7111,
12/08/2016;7048,
13/08/2016;6569,
14/08/2016;6470,
15/08/2016;6664,
16/08/2016;7113,
17/08/2016;7101,
18/08/2016;7067,
19/08/2016;6911,
20/08/2016;6481,
21/08/2016;6444,
22/08/2016;6806,
23/08/2016;7009,
24/08/2016;7078,
25/08/2016;7078,
26/08/2016;7267,
27/08/2016;6526,
28/08/2016;6690,
29/08/2016;7119,
30/08/2016;7126,
31/08/2016;7285,
01/09/2016;7198,
02/09/2016;7168,
03/09/2016;6520,
04/09/2016;6571,
05/09/2016;7165,
06/09/2016;7083,
07/09/2016;7076,
08/09/2016;7070,
09/09/2016;6822,
10/09/2016;6355,
11/09/2016;6615,
12/09/2016;7232,
13/09/2016;6994,
14/09/2016;7045,
15/09/2016;7158,
16/09/2016;6925,
17/09/2016;6040,
18/09/2016;5782,
19/09/2016;6098,
20/09/2016;7035,
21/09/2016;6900,
22/09/2016;7024,
23/09/2016;6920,
24/09/2016;6179,
25/09/2016;6586,
26/09/2016;6773,
27/09/2016;6915,
28/09/2016;6915,
29/09/2016;6978,
30/09/2016;6949,
01/10/2016;6225,
02/10/2016;6214,
03/10/2016;7057,
09/10/2016;6367,
10/10/2016;6233,
11/10/2016;6848,
12/10/2016;6903,
13/10/2016;7017,
14/10/2016;7035,
15/10/2016;6375,
16/10/2016;5933,
17/10/2016;7035,
18/10/2016;7105,
19/10/2016;6962,
20/10/2016;6926,
21/10/2016;6795,
22/10/2016;6267,
23/10/2016;6403,
24/10/2016;7040,
25/10/2016;7041,
26/10/2016;7049,
27/10/2016;7030,
28/10/2016;6992,
29/10/2016;6043,
30/10/2016;6224,
31/10/2016;6367,
01/11/2016;6598,
02/11/2016;7015,
03/11/2016;7184,
04/11/2016;7056,
05/11/2016;6360,
06/11/2016;6467,
07/11/2016;7198,
08/11/2016;7170,
09/11/2016;7263,
10/11/2016;7283,
11/11/2016;7141,
12/11/2016;6336,
13/11/2016;6468,
14/11/2016;7250,
15/11/2016;7233,
16/11/2016;7195,
17/11/2016;7284,
18/11/2016;7178,
19/11/2016;6503,
20/11/2016;6182,
21/11/2016;7256,
22/11/2016;7091,
23/11/2016;7091,
24/11/2016;7051,
25/11/2016;6976,
26/11/2016;6533,
27/11/2016;6303,
28/11/2016;7240,
29/11/2016;7306,
30/11/2016;7174,
01/12/2016;7210,
02/12/2016;7213,
03/12/2016;6439,
04/12/2016;6373,
05/12/2016;7121,
06/12/2016;7111,
07/12/2016;7109,
08/12/2016;6548,
09/12/2016;7148,
10/12/2016;6582,
11/12/2016;6440,
12/12/2016;7169,
13/12/2016;7339,
14/12/2016;7586,
15/12/2016;7568,
16/12/2016;7515,
17/12/2016;6642,
18/12/2016;6487,
19/12/2016;7468,
20/12/2016;7580,
21/12/2016;7462,
22/12/2016;7409,
23/12/2016;7262,
24/12/2016;6255,
25/12/2016;6117,
26/12/2016;7454,
27/12/2016;7407,
28/12/2016;7280,
29/12/2016;7268,
30/12/2016;7135,
31/12/2016;6360,
01/01/2017;5873,
02/01/2017;6445,
03/01/2017;6940,
04/01/2017;7369,
05/01/2017;7369,
06/01/2017;7391,
07/01/2017;6645,
08/01/2017;6317,
09/01/2017;6949,
10/01/2017;7413,
11/01/2017;7572,
12/01/2017;7549,
13/01/2017;7555,
14/01/2017;6663,
15/01/2017;6411,
16/01/2017;7169,
17/01/2017;7524,
18/01/2017;7680,
19/01/2017;7677,
20/01/2017;7770,
