fecha;hidro;termo;ernc;total,,,,
12/01/2016;74055;69960;16709;160724,,,,
13/01/2016;66608;76598;15589;158795,,,,
14/01/2016;70276;71616;17317;159209,,,,
15/01/2016;66779;74252;19630;160661,,,,
16/01/2016;0;0;0;0,,,,
17/01/2016;0;0;0;0,,,,
18/01/2016;71176;71633;13407;156216,,,,
19/01/2016;68897;72718;19254;160869,,,,
20/01/2016;67573;75806;18609;161988,,,,
21/01/2016;70284;83148;12131;165563,,,,
22/01/2016;71034;81027;12418;164479,,,,
23/01/2016;67604;71867;14516;153987,,,,
24/01/2016;60289;62252;15310;137851,,,,
25/01/2016;71284;71776;17405;160465,,,,
26/01/2016;72872;73352;17453;163677,,,,
27/01/2016;70304;71778;17475;159557,,,,
28/01/2016;69303;70321;17695;157319,,,,
29/01/2016;63124;76237;20112;159473,,,,
30/01/2016;63302;71230;17210;151742,,,,
31/01/2016;61067;60441;13914;135422,,,,
01/02/2016;74795;69268;16875;160938,,,,
02/02/2016;65612;76520;17082;159214,,,,
03/02/2016;65137;80551;18636;164324,,,,
04/02/2016;63681;83410;18175;165266,,,,
05/02/2016;64174,7;84426,3;18322;166923,,
06/02/2016;60151;76251;17872;154274,,,,
07/02/2016;54466;68968;17393;140827,,,,
08/02/2016;62134;78527;21086;161747,,,,
09/02/2016;62945;82524;20780;166249,,,,
10/02/2016;65003;84489;17122;166614,,,,
11/02/2016;63528;86378;18339;168245,,,,
12/02/2016;62036;84761;20774;167571,,,,
13/02/2016;55291;75226;21862;152379,,,,
14/02/2016;52508;67585;21698;141791,,,,
15/02/2016;63614;79891;18451;161956,,,,
16/02/2016;61972;86893;18329;167194,,,,
17/02/2016;58361,86;91886;18255;168502,86,,
18/02/2016;58433,34;90443;19194;168070,34,,
19/02/2016;59163,34;88060;21220;168443,34,,
20/02/2016;54012,34;80220;20857;155089,34,,
21/02/2016;51563;71686;17685;140934,,,,
22/02/2016;64274;85801;16115;166190,,,,
23/02/2016;59799;94322;15480;169601,,,,
24/02/2016;55398,4;98974;16769,4;171141,8,
25/02/2016;54035,4;95642;19935,4;169612,8,
26/02/2016;54723,4;90891;22063,4;167677,8,
27/02/2016;51436,4;85525;17618,4;154579,8,
28/02/2016;49492,4;76225;16936,4;142653,8,
29/02/2016;55213,4;94626;17659,4;167498,8,
01/03/2016;0;0;0;0,,,,
02/03/2016;55776,4;100872;15257,4;171905,8,
03/03/2016;53531,4;99059;15557,4;168147,8,
04/03/2016;52967,4;102097;16335,4;171399,8,
05/03/2016;45963,4;93554;14890,4;154407,8,
06/03/2016;47368,4;79628;16019,4;143015,8,
07/03/2016;51362,4;97218;17287,6;165868,,
08/03/2016;50474,4;101840;16350,76;168665,16,
09/03/2016;48008,4;96936,74;17195,26;162140,4
10/03/2016;50208,4;101802;15106,27;167116,67,
11/03/2016;48791,06;103095;15331,39;167217,45,
12/03/2016;45347,4;95203;15320,27;155870,67,
13/03/2016;40340,4;83108;15356,46;138804,86,
14/03/2016;45971,4;103372;16321,67;165665,7,
15/03/2016;46386,4;107387;15141,03;168914,43,
16/03/2016;46431,4;110072;14166,55;170669,95,
17/03/2016;45773,4;104653;17434,91;167861,31,
18/03/2016;44184,4;105489;20744,01;170417,41,
19/03/2016;44175,4;98121;14965,28;157261,68,
20/03/2016;43742,4;87478;14576,47;145796,87,
21/03/2016;44916,4;103774;16837,08;165527,48,
22/03/2016;46622,4;108242;15509;170373,4,,
23/03/2016;42673,4;109231;15388,86;167293,26,
24/03/2016;44523,4;106454;16942,56;167919,96,
25/03/2016;31211,6;92747;14318,66;138277,26,
26/03/2016;29743,6;94199;14305,54;138248,14,
27/03/2016;30640,6;97069;15377,16;143086,76,
28/03/2016;42048,6;107053;14890,03;163991,63,
29/03/2016;43568,6;107437;14369;165374,6,,
30/03/2016;42870,6;104798;15621,84;163290,44,
31/03/2016;40786,1;100244;21988,57;163018,67,
01/04/2016;47047,1;95605;16511,8;159163,9,
02/04/2016;6200,6;14852;1966,33;23018,93,
03/04/2016;5512;17610;2864,18;25986,18,,
04/04/2016;17118,3;47037;8447,5;72602,8,
05/04/2016;20577,4;41838;5410,62;67826,2,
06/04/2016;21491,4;41164;5381,62;68037,2,
07/04/2016;19696,4;41658;6734,75;68089,15,
08/04/2016;42371,6;93304;20377,82;156053,42,
09/04/2016;45000,1;79819;21394,09;146213,19,
10/04/2016;37276,1;79602;21447,7;138325,8,
11/04/2016;37074,1;101048;15168,45;153290,55,
12/04/2016;37786,1;102050;16466,59;156302,69,
13/04/2016;38844,1;103057;15678,16;157579,26,
14/04/2016;45906,9;97125;15016,44;158048,34,
15/04/2016;43707,1;100825;14121,5;158653,6,
16/04/2016;47914,1;80806;14063,63;142783,73,
17/04/2016;44096,1;76182;17985;138263,1,,
18/04/2016;39648,1;95885;18938,14;154471,24,
19/04/2016;45714,6;90727;21737,14;158178,74,
20/04/2016;48175,35;90421;18339,13;156935,48,
21/04/2016;46640,6;83463;21033,86;151137,46,
22/04/2016;50241,6;84197;16003,24;150441,84,
23/04/2016;52473,6;72178;16861,64;141513,24,
24/04/2016;47729,85;63383,3;17915,85;129029,
25/04/2016;46367,6;74275,6;22955,8;143599,
26/04/2016;52925,6;77542,78;16409,62;146878,
27/04/2016;57604,6;77540,49;12902,91;148048,
28/04/2016;66231,1;70882,06;13034,84;150148,
29/04/2016;58842;73925,3;18236,7;151004,,
30/04/2016;53041;70302;17026;140369,,,,
01/05/2016;47857,4;68314;15576,6;131748,,
02/05/2016;46531,6;82914,85;16579,55;146026,
03/05/2016;53706,8;83087,31;14192,89;150987,
04/05/2016;51045,6;85960,9;13730,5;150737,
05/05/2016;50560,8;88124,9;13782,3;152468,
06/05/2016;53005,2;81388;16371,8;150765,,
07/05/2016;47720,5;76760;17251,5;141732,,
08/05/2016;39572,6;73886,7;16471,7;129931,
09/05/2016;46365,2;85302,9;13896,9;145565,
10/05/2016;49979;85104,31;15795,69;150879,,
11/05/2016;50045,2;81944,36;21130,44;153120,
12/05/2016;51807,4;86248,13;16067,47;154123,
13/05/2016;47829,6;90142,8;14633,6;152606,
14/05/2016;38263,55;90123,21;19209,24;147596,
15/05/2016;32306;82726,24;14938,76;129971,,
16/05/2016;42490,5;89615,03;17460,47;149566,
17/05/2016;45170;90454,21;17785,79;153410,,
18/05/2016;45424,6;91216,8;15240,6;151882,
19/05/2016;45849,6;91280,21;15585,19;152715,
20/05/2016;44146,5;91276,1;16404,4;151827,
21/05/2016;32094,7;86797,53;17128,77;136021,
22/05/2016;31913,8;83088,18;16373,02;131375,
23/05/2016;42512,2;91244,1;15829,7;149586,
24/05/2016;51697,5;83322,08;15543,42;150563,
25/05/2016;49905,7;83078,08;18783,22;151767,
26/05/2016;45215,1;88813,08;20245,44;154273,62
27/05/2016;34716,5;99591,76;19111,74;153420,
28/05/2016;34687,4;88644,08;17577,52;140909,
29/05/2016;29864;85948,74;16207,26;132020,,
30/05/2016;34036,8;96422,16;18138,04;148597,
31/05/2016;35747,4;99965,93;15871,67;151585,
01/06/2016;49748;88674,08;14972,92;153395,,
02/06/2016;48528,7;90134,08;18031,22;156694,
03/06/2016;47847,8;91290,08;17088,12;156226,
04/06/2016;45847;79761,08;18295,92;143904,,
05/06/2016;30437,4;84917;21174,6;136529,,
06/06/2016;42786,9;92187,76;19995,34;154970,
07/06/2016;45711,4;89996,08;20495,52;156203,
08/06/2016;48638,4;88874,8;16573,8;154087,
09/06/2016;47539,1;88141,4;18685,5;154366,
10/06/2016;43570,1;93542,48;19529,42;156642,
11/06/2016;40260,8;86104,48;16114,72;142480,
12/06/2016;24091,6;91409,23;16659,17;132160,
13/06/2016;36468,2;94575,45;20150,35;151194,
14/06/2016;34907,4;95730,08;23589,52;154227,
15/06/2016;40525,8;91055,48;25237,72;156819,
16/06/2016;36717,5;100085,32;21214,18;158017,
17/06/2016;40157,3;96484,04;18171,66;154813,
18/06/2016;32950,2;92222,48;16120,32;141293,
19/06/2016;31367,5;88962,85;15929,65;136260,
20/06/2016;42404,7;93274,56;17346,74;153026,
21/06/2016;34453,1;102025,56;19458,34;155937,
22/06/2016;33471,1;102783,82;20067,08;156322,
23/06/2016;36260,1;98359,08;23376,82;157996,
24/06/2016;37779,2;99733,56;21932,24;159445,
25/06/2016;27972,5;98765,52;16706,98;143445,
26/06/2016;23143,9;93681,6;16479,5;133305,
27/06/2016;22519,4;95344,2;17824,4;135688,
28/06/2016;36957,1;101980,48;17673,42;156611,
29/06/2016;51137,5;91235,48;17193,02;159566,
30/06/2016;42823,1;97013,48;19718,42;159555,
01/07/2016;35854,3;106625,56;18676,14;161156,
02/07/2016;23655,5;103668,48;17574,02;144898,
03/07/2016;23373,6;96166,03;19244,37;138784,
04/07/2016;31332,6;107486,97;17516,43;156336,
05/07/2016;29868,2;111602,52;17805,28;159276,
06/07/2016;27551,2;106491,08;23422,72;157465,
07/07/2016;30351,2;109085,08;17380,72;156817,
08/07/2016;32433,2;104793,68;18381,12;155608,
09/07/2016;24523,2;105715,08;15882,72;146121,
10/07/2016;25224,2;96711,74;14417,06;136353,
11/07/2016;33947,6;104679,61;17633,79;156261,
12/07/2016;41882,6;99215,68;17842,72;158941,
13/07/2016;34496,6;104397,68;21482,72;160377,
14/07/2016;32573,6;103983,3;22252,1;158809,
15/07/2016;37279,6;100971,3;18341,1;156592,
16/07/2016;35275,6;88683,23;17551,17;141510,
17/07/2016;35464,6;85652,64;16424,76;137542,
18/07/2016;48722,6;90248,28;16686,12;155657,
19/07/2016;45655,6;97056,1;16571,3;159283,
20/07/2016;40705,6;95325,32;19635,08;155666,
21/07/2016;38559,6;98261,93;16498,47;153320,
22/07/2016;38916,6;99113,52;16890,88;154921,
23/07/2016;37026,6;95434,64;16045,76;148507,
24/07/2016;28332,6;93803,47;15591,93;137728,
25/07/2016;41205,6;95783,9;19444,5;156434,
26/07/2016;41140;95202,07;19762,93;156105,,
27/07/2016;52369;85438,16;16636,84;154444,,
28/07/2016;60082;78920,16;16635,84;155638,,
29/07/2016;65705;71756,16;17983,84;155445,,
30/07/2016;54678;71980,16;17362,84;144021,,
31/07/2016;53493;63369,04;17486,96;134349,,
01/08/2016;61617;70138,16;20834,84;152590,,
02/08/2016;49913;84604,16;17356,84;151874,,
03/08/2016;51366;83464,16;18688,84;153519,,
04/08/2016;46503;82940,16;20769,84;150213,,
05/08/2016;43762;87848,16;19609,84;151220,,
06/08/2016;32892;86272,16;21021,84;140186,,
07/08/2016;28887;78722,62;21361,38;128971,,
08/08/2016;39471;85263,16;22597,84;147332,,
