dataset,column,dtype,semantic_family,semantic_subtype,n_unique,pct_missing,pct_unique,sample_values,min,max
facturacion_regulados,anio,int64,numerical,discrete,10,0.0,0.002,"2015, 2015, 2015",2015.0,2024.0
facturacion_regulados,mes,int64,numerical,discrete,12,0.0,0.002,"1, 1, 1",1.0,12.0
facturacion_regulados,region,str,categorical,nominal,16,0.0,0.003,"Región del Libertador Gral. Bernardo O’Higgins, Región del Libertador Gral. Bernardo O’Higgins, Región del Libertador Gral. Bernardo O’Higgins",,
facturacion_regulados,comuna,str,categorical,nominal,330,0.0,0.067,"Las Cabras, Las Cabras, Las Cabras",,
facturacion_regulados,tipo_clientes,str,categorical,nominal,2,0.0,0.0,"No Residencial, No Residencial, No Residencial",,
facturacion_regulados,tarifa,str,categorical,nominal,31,0.0,0.006,"BT2PP, AT4.3, AT4.2",,
facturacion_regulados,clientes_facturados,float64,numerical,discrete,22697,0.0,4.625,"179.0, 128.0, 14.0",-10.0,476166.0
facturacion_regulados,e1_kwh,float64,numerical,continuous,222494,0.279,45.464,"108809.0, 3241469.0, 257092.0",-4812180.0,106130977.0
facturacion_regulados,e2_kwh,float64,numerical,discrete,19929,9.726,4.498,"0.0, 0.0, 0.0",-278699.0,12789230.0
facturacion_regulados,energia_kwh,int64,numerical,continuous,222537,0.0,45.346,"108809, 3241469, 257092",-4812180.0,112039986.0
