dataset,column,semantic_family,semantic_subtype,shannon_entropy_bits
facturacion_regulados,comuna,categorical,nominal,8.34015749571382
facturacion_regulados,tarifa,categorical,nominal,4.019393116214004
facturacion_regulados,region,categorical,nominal,3.5984476377834778
facturacion_regulados,e1_kwh,numerical,continuous,3.3219280937157487
facturacion_regulados,energia_kwh,numerical,continuous,3.3219280920240353
facturacion_regulados,clientes_facturados,numerical,discrete,3.298937881850884
facturacion_regulados,mes,numerical,discrete,3.250931460779042
facturacion_regulados,anio,numerical,discrete,3.1296098258940357
facturacion_regulados,tipo_clientes,categorical,nominal,0.5016137853566386
facturacion_regulados,e2_kwh,numerical,discrete,0.30758689463020794
